name,url
vit-base-mnist,https://huggingface.co/farleyknight-org-username/vit-base-mnist
clip-vit-base-patch32_mnist,https://huggingface.co/tanganke/clip-vit-base-patch32_mnist
Mnist-Digits-SigLIP2,https://huggingface.co/prithivMLmods/Mnist-Digits-SigLIP2
clip-vit-base-patch32_svhn,https://huggingface.co/tanganke/clip-vit-base-patch32_svhn
resnet34_svhn,https://huggingface.co/edadaltocg/resnet34_svhn
densenet121_svhn,https://huggingface.co/edadaltocg/densenet121_svhn
vgg16_bn_svhn,https://huggingface.co/edadaltocg/vgg16_bn_svhn
Fashion-Mnist-SigLIP2,https://huggingface.co/prithivMLmods/Fashion-Mnist-SigLIP2
fashion_classification_model,https://huggingface.co/sehee-lim/fashion_classification_model
clip-vit-base-patch16_fashion_mnist,https://huggingface.co/tanganke/clip-vit-base-patch16_fashion_mnist
vit-base-patch16-224,https://huggingface.co/google/vit-base-patch16-224
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,https://huggingface.co/timm/eva02_large_patch14_448.mim_m38m_ft_in22k_in1k
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,https://huggingface.co/timm/eva02_large_patch14_448.mim_in22k_ft_in22k_in1k
eva_giant_patch14_560.m30m_ft_in22k_in1k,https://huggingface.co/timm/eva_giant_patch14_560.m30m_ft_in22k_in1k
eva02_large_patch14_448.mim_in22k_ft_in1k,https://huggingface.co/timm/eva02_large_patch14_448.mim_in22k_ft_in1k
eva_giant_patch14_336.m30m_ft_in22k_in1k,https://huggingface.co/timm/eva_giant_patch14_336.m30m_ft_in22k_in1k
eva02_large_patch14_448.mim_m38m_ft_in1k,https://huggingface.co/timm/eva02_large_patch14_448.mim_m38m_ft_in1k
eva_giant_patch14_336.clip_ft_in1k,https://huggingface.co/timm/eva_giant_patch14_336.clip_ft_in1k
eva_large_patch14_336.in22k_ft_in22k_in1k,https://huggingface.co/timm/eva_large_patch14_336.in22k_ft_in22k_in1k
eva_giant_patch14_224.clip_ft_in1k,https://huggingface.co/timm/eva_giant_patch14_224.clip_ft_in1k
convnextv2_huge.fcmae_ft_in22k_in1k_512,https://huggingface.co/timm/convnextv2_huge.fcmae_ft_in22k_in1k_512
eva_large_patch14_336.in22k_ft_in1k,https://huggingface.co/timm/eva_large_patch14_336.in22k_ft_in1k
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,https://huggingface.co/timm/eva02_base_patch14_448.mim_in22k_ft_in22k_in1k
convnextv2_huge.fcmae_ft_in22k_in1k_384,https://huggingface.co/timm/convnextv2_huge.fcmae_ft_in22k_in1k_384
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,https://huggingface.co/timm/vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k
vit-base-patch16-224-in21k-finetuned-cifar10,https://huggingface.co/aaraki/vit-base-patch16-224-in21k-finetuned-cifar10
resnet18_cifar10,https://huggingface.co/SamAdamDay/resnet18_cifar10
resnet34_cifar100,https://huggingface.co/edadaltocg/resnet34_cifar100
resnet18_cifar100,https://huggingface.co/edadaltocg/resnet18_cifar100
Vit-Cifar100,https://huggingface.co/Ahmed9275/Vit-Cifar100
Dermacare_Skin_Lesion_classification,https://huggingface.co/sreejith782/Dermacare_Skin_Lesion_classification
dermanalisys-model,https://huggingface.co/victormattosli/dermanalisys-model
